Population	Region	Color	Point	cex	Text
ACB	AfroAmericans	rosybrown4	1	0.8	NA
ASW	AfroAmericans	rosybrown4	2	0.8	NA
CEU	Europe	palevioletred	1	0.8	NA
CLM	Admixed	bisque3	1	0.8	NA
ESN	Africa	rosybrown	1	0.8	NA	
FIN	Europe	palevioletred	2	0.8	NA
GBR	Europe	palevioletred	3	0.8	NA
GWD	Africa	rosybrown	2	0.8	NA
IBS	Europe	palevioletred	4	0.8	NA
LWK	Africa	rosybrown	3	0.8	NA
MSL	Africa	rosybrown	4	0.8	NA
MXL	Admixed	bisque3	2	0.8	NA
PEL	Admixed	bisque3	3	0.8	NA
PUR	Admixed	bisque3	4	0.8	NA
TSI	Europe	palevioletred	5	0.8	NA
YRI	Africa	rosybrown	5	0.8	NA
Andean	Andean	#A7D65D	24	1.2	an
Ashaninka	Equatorial-Tucanoan	#9751A1	21	1.2	as
Bolivia_Aymara	Andes	#A7D65D	24	1.2	bay
Aymara2	Andes	#A7D65D	24	1.2	ay2
Cashibo	Ge-Pano-Carib	#FD7F23	21	1.2	ca
Huambisa	Equatorial-Tucanoan	#9751A1	22	1.2	hu
Shipibo	Equatorial-Tucanoan	#9751A1	23	1.2	sh	
Titicaca_Aymara	Andes	#A7D65D	21	1.2	tay
Titicaca_Quechua	Andes	#A7D65D	22	1.2	qu
Titicaca_Uros	Andes	#A7D65D	23	1.2	ur
Tzotzil	Northern-Amerind	grey	21	1.2	tz
Wichi	Ge-Pano-Carib	#FD7F23	22	1.2	wi
Yanesha_HighSelva	Equatorial-Tucanoan	#9751A1	24	1.2	yhs
Yanesha_IntermediateSelva	Equatorial-Tucanoan	#9751A1	25	1.2	yis
Yanesha	Equatorial-Tucanoan	#9751A1	24	1.2	yan
Yukpa	Ge-Pano-Carib	#FD7F23	23	1.2	yu
Bari	Chibchan-Paezan	mediumseagreen	21	1.2	ba
